rank,gid,role,priority_score,why
22,100000005124479100,coordinator,0.9488962123606157,"Кандидат в координирующий узел: 2 плательщиков → 2 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 4.755524433290098e-05"
23,100000007129492100,coordinator,0.9480723217913413,"Кандидат в координирующий узел: 2 плательщиков → 1 получателей; сигналы S3 Главные факторы: n_seed_upstream: 4, role: coordinator, betweenness: 2.5164650126160102e-05"
24,100000002838861100,coordinator,0.9421809399124194,"Кандидат в координирующий узел: 5 плательщиков → 1 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 1.9418391435934565e-05"
25,100000001987030100,coordinator,0.9404993002573246,"Кандидат в координирующий узел: 2 плательщиков → 1 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 5.706629319948117e-05"
26,100000003946524100,transit,0.9374068890794999,"Признаки транзита: получено 134 тыс., отдано 108%, 2→2 контрагента Главные факторы: n_seed_upstream: 2, role: transit, betweenness: 0.0001194825513864137"
27,100000007311010100,coordinator,0.9326441244187622,"Кандидат в координирующий узел: 2 плательщиков → 1 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 2.3975769017837576e-05"
28,100000004315838100,coordinator,0.9323281115976705,"Кандидат в координирующий узел: 2 плательщиков → 1 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 2.377762216645049e-05"
29,100000008438656100,coordinator,0.9323281115976705,"Кандидат в координирующий узел: 2 плательщиков → 1 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 2.377762216645049e-05"
30,100000002398779100,consolidator,0.9299241569229381,"Признаки консолидации: 13 плательщиков, деньги от 2 seed за ≤2 колена, получено 1.10 млн, дальше ушло 6% Главные факторы: n_seed_upstream: 2, role: consolidator, betweenness: 1.2681398488773594e-05"
31,100000008603629100,coordinator,0.9143040946232677,"Кандидат в координирующий узел: 19 плательщиков → 61 получателей; сигналы S2, S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.005654318551181927"
32,100000000437046100,coordinator,0.9132996252990837,"Кандидат в координирующий узел: 9 плательщиков → 42 получателей; сигналы S2, S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0026672547665215836"
33,100000001857829100,coordinator,0.9115954132996253,"Кандидат в координирующий узел: 6 плательщиков → 16 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0023268384758385672"
34,100000008304139100,coordinator,0.9114486930612615,"Кандидат в координирующий узел: 4 плательщиков → 24 получателей; сигналы S1, S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0018168084803682045"
35,100000008547948100,coordinator,0.9114486930612615,"Кандидат в координирующий узел: 6 плательщиков → 26 получателей; сигналы S2 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.001457370091952028"
36,100000004070318100,coordinator,0.9112906866507157,"Кандидат в координирующий узел: 4 плательщиков → 19 получателей; сигналы S1, S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0018530693541720415"
37,100000004351795100,coordinator,0.9108166674190782,"Кандидат в координирующий узел: 3 плательщиков → 14 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0019354984443490698"
38,100000008686313100,coordinator,0.9102072141212588,"Кандидат в координирующий узел: 6 плательщиков → 7 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0033262911942350364"
39,100000004847758100,coordinator,0.9100830662272584,"Кандидат в координирующий узел: 4 плательщиков → 15 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0011633201644935902"
40,100000007639767100,coordinator,0.9082208478172544,"Кандидат в координирующий узел: 4 плательщиков → 10 получателей; сигналы S1, S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0010012360400589526"
41,100000002762076100,coordinator,0.9078145456187079,"Кандидат в координирующий узел: 2 плательщиков → 1 получателей; сигналы S3 Главные факторы: n_seed_upstream: 2, role: coordinator, betweenness: 3.962937027741748e-07"
42,100000001697501100,coordinator,0.9060313304139769,"Кандидат в координирующий узел: 3 плательщиков → 38 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.00020547828488840964"
43,100000002723538100,coordinator,0.9049139993679746,"Кандидат в координирующий узел: 3 плательщиков → 12 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.000303759123176405"
44,100000007442518100,coordinator,0.9038869576994267,"Кандидат в координирующий узел: 5 плательщиков → 9 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0002522409418157623"
45,100000000661912100,coordinator,0.9030969256466977,"Кандидат в координирующий узел: 5 плательщиков → 2 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0013515596733113232"
46,100000008733194100,coordinator,0.9022504627330595,"Кандидат в координирующий узел: 4 плательщиков → 8 получателей; сигналы S1, S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.00020171349471205497"
47,100000008104567100,coordinator,0.901358855130694,"Кандидат в координирующий узел: 3 плательщиков → 3 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.0018816025007717821"
48,100000004390333100,coordinator,0.9005913954223286,"Кандидат в координирующий узел: 2 плательщиков → 9 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.00016644335516515342"
49,100000008137435100,coordinator,0.900501106044874,"Кандидат в координирующий узел: 2 плательщиков → 6 получателей; сигналы S3 Главные факторы: role: coordinator, n_seed_upstream: 1, betweenness: 0.00029840915818895366"
50,100000005933757100,distributor,0.8991580515552346,"Веерная рассылка: 34 получателей, отдано 3.00 млн Главные факторы: role: distributor, n_seed_upstream: 1, betweenness: 0.0038646561894537528"
