cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,role_counts
12,77,14,14261788.84,100000004403675100;100000005933757100;100000004159526100;100000002605308100;100000001937767100,"Сбор выручки: 14 seed → 3 точек консолидации, оборот 14.26 млн","{""consolidator"": 3, ""coordinator"": 1, ""distributor"": 1, ""frontier"": 12, ""peripheral"": 28, ""terminal"": 32}"
13,77,0,6309968.0,100000004400305100;100000002645609100;100000001126374100;100000003235780100;100000003068941100,Распределительный узел: веерная рассылка на 82 получателей,"{""coordinator"": 1, ""frontier"": 28, ""peripheral"": 14, ""terminal"": 30, ""transit"": 4}"
14,54,0,8837054.530000001,100000007908818100;100000001857829100;100000005133757100;100000008473207100;100000001641951100,Распределительный узел: веерная рассылка на 16 получателей,"{""coordinator"": 2, ""frontier"": 19, ""peripheral"": 13, ""terminal"": 18, ""transit"": 2}"
15,54,0,16858436.0,100000007442518100;100000005242320100;100000002670860100;100000008258083100;100000002748180100,Распределительный узел: веерная рассылка на 21 получателей,"{""coordinator"": 1, ""distributor"": 1, ""frontier"": 10, ""peripheral"": 10, ""terminal"": 32}"
16,42,0,4121910.0,100000001530983100;100000002293421100;100000002939838100;100000007777377100;100000004180097100,Распределительный узел: веерная рассылка на 11 получателей,"{""consolidator"": 1, ""coordinator"": 1, ""frontier"": 15, ""peripheral"": 10, ""terminal"": 14, ""transit"": 1}"
17,36,0,3634700.0,100000008748408100;100000003509750100;100000005171642100;100000004221668100;100000002692750100,Распределительный узел: веерная рассылка на 21 получателей,"{""distributor"": 1, ""frontier"": 1, ""peripheral"": 11, ""terminal"": 20, ""transit"": 3}"
18,42,0,5438969.0,100000004351795100;100000003242289100;100000008512552100;100000008221543100;100000002217161100,Распределительный узел: веерная рассылка на 23 получателей,"{""coordinator"": 1, ""distributor"": 1, ""frontier"": 7, ""peripheral"": 13, ""terminal"": 20}"
19,29,1,6442820.0,100000008546855100;100000007594394100;100000003854444100;100000003873332100;100000008647905100,Распределительный узел: веерная рассылка на 14 получателей,"{""consolidator"": 1, ""coordinator"": 1, ""frontier"": 5, ""peripheral"": 7, ""terminal"": 13, ""transit"": 2}"
20,25,5,3432300.0,100000005074393100;100000008733194100;100000004480280100;100000006424479100;100000003254723100,Распределительный узел: веерная рассылка на 8 получателей,"{""coordinator"": 2, ""frontier"": 4, ""peripheral"": 9, ""terminal"": 10}"
21,21,0,2707265.0,100000005519998100;100000004336312100;100000004076740100;100000007382543100;100000005932987100,"Состав ролей: frontier 7, peripheral 8, terminal 4, transit 2","{""frontier"": 7, ""peripheral"": 8, ""terminal"": 4, ""transit"": 2}"
22,17,1,2977887.0,100000004144536100;100000002731501100;100000003616818100;100000004160650100;100000003603979100,Периферийный фрагмент одного seed,"{""frontier"": 1, ""peripheral"": 9, ""terminal"": 7}"
23,29,0,446070.0,100000001164648100;100000008460102100;100000006491963100;100000006412162100;100000002986245100,Распределительный узел: веерная рассылка на 31 получателей,"{""distributor"": 1, ""frontier"": 27, ""terminal"": 1}"
24,13,1,1392916.0,100000001380054100;100000005077484100;100000000703894100;100000004463277100;100000004192865100,Периферийный фрагмент одного seed,"{""peripheral"": 7, ""terminal"": 6}"
25,11,0,432700.0,100000000031787100;100000001601320100;100000000267734100;100000002842337100;100000007861311100,"Состав ролей: peripheral 3, terminal 6, transit 2","{""peripheral"": 3, ""terminal"": 6, ""transit"": 2}"
26,12,0,2022500.0,100000003701161100;100000002267998100;100000003718221100;100000004580202100;100000001063678100,"Состав ролей: frontier 2, peripheral 5, terminal 5","{""frontier"": 2, ""peripheral"": 5, ""terminal"": 5}"
27,15,0,850450.0,100000001526235100;100000005505655100;100000002472632100;100000001788284100;100000002708624100,"Состав ролей: frontier 6, peripheral 7, terminal 2","{""frontier"": 6, ""peripheral"": 7, ""terminal"": 2}"
28,15,0,3626010.0,100000008461532100;100000006704530100;100000000791285100;100000003122817100;100000002691583100,"Состав ролей: frontier 6, peripheral 3, terminal 5, transit 1","{""frontier"": 6, ""peripheral"": 3, ""terminal"": 5, ""transit"": 1}"
29,11,0,1868224.0,100000008603331100;100000002032323100;100000001046057100;100000004715209100;100000001379511100,"Состав ролей: frontier 5, peripheral 3, terminal 3","{""frontier"": 5, ""peripheral"": 3, ""terminal"": 3}"
30,9,0,3404688.0,100000002175422100;100000003557488100;100000001317336100;100000002212494100;100000002975437100,"Состав ролей: frontier 3, peripheral 4, terminal 2","{""frontier"": 3, ""peripheral"": 4, ""terminal"": 2}"
31,8,0,389000.0,100000005507142100;100000002612809100;100000005264874100;100000001825934100;100000002214207100,"Состав ролей: frontier 4, peripheral 4","{""frontier"": 4, ""peripheral"": 4}"
32,6,1,1615030.0,100000008193577100;100000008736940100;100000008751429100;100000005456919100;100000000307908100,Периферийный фрагмент одного seed,"{""peripheral"": 5, ""terminal"": 1}"
33,6,1,383300.0,100000004094958100;100000005363908100;100000005546031100;100000004331458100;100000005547096100,Транзитные цепочки: 2 узлов пропускают средства дальше,"{""peripheral"": 3, ""terminal"": 1, ""transit"": 2}"
34,6,1,1527967.0,100000007939160100;100000005183943100;100000003888271100;100000007930878100;100000000955444100,Периферийный фрагмент одного seed,"{""peripheral"": 3, ""terminal"": 3}"
35,7,0,143000.0,100000005911352100;100000000507799100;100000004508696100;100000003962994100;100000005127767100,"Состав ролей: frontier 2, peripheral 3, terminal 2","{""frontier"": 2, ""peripheral"": 3, ""terminal"": 2}"
36,5,1,2809200.0,100000004135268100;100000002738256100;100000007507343100;100000004979498100;100000008571433100,Транзитные цепочки: 2 узлов пропускают средства дальше,"{""peripheral"": 2, ""terminal"": 1, ""transit"": 2}"
37,6,1,275885.0,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100,Периферийный фрагмент одного seed,"{""peripheral"": 1, ""terminal"": 5}"
38,4,1,1404980.0,100000000785800100;100000001872484100;100000002459163100;100000008601794100,Транзитные цепочки: 1 узлов пропускают средства дальше,"{""peripheral"": 2, ""terminal"": 1, ""transit"": 1}"
39,5,2,108007.0,100000006562026100;100000007347733100;100000008129393100;100000006249740100;100000006831291100,"Состав ролей: peripheral 2, terminal 3","{""peripheral"": 2, ""terminal"": 3}"
40,4,1,79050.0,100000003148220100;100000006888238100;100000001852140100;100000004971871100,Периферийный фрагмент одного seed,"{""peripheral"": 3, ""terminal"": 1}"
41,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,Периферийный фрагмент одного seed,"{""peripheral"": 1, ""terminal"": 2}"
42,3,1,450000.0,100000000769919100;100000002371751100;100000007018630100,Периферийный фрагмент одного seed,"{""peripheral"": 2, ""terminal"": 1}"
43,2,1,81465.0,100000003865939100;100000005392290100,Периферийный фрагмент одного seed,"{""peripheral"": 1, ""terminal"": 1}"
44,2,1,30000.0,100000003980083100;100000003200071100,Периферийный фрагмент одного seed,"{""peripheral"": 1, ""terminal"": 1}"
